t;y1;y2;y3
0.2293729680;0.9999770331;0.0000229335;0.0000000334
0.2297030010;0.9999770001;0.0000229665;0.0000000334
0.2300330340;0.9999769671;0.0000229995;0.0000000333
0.2303630670;0.9999769342;0.0000230325;0.0000000333
0.2306931000;0.9999769012;0.0000230655;0.0000000333
0.2310231330;0.9999768682;0.0000230985;0.0000000333
0.2313531660;0.9999768352;0.0000231315;0.0000000333
0.2316831990;0.9999768022;0.0000231645;0.0000000333
0.2320132320;0.9999767692;0.0000231975;0.0000000333
0.2323432650;0.9999767362;0.0000232305;0.0000000333
0.2326732980;0.9999767032;0.0000232634;0.0000000334
0.2330033310;0.9999766702;0.0000232964;0.0000000334
0.2333333640;0.9999766372;0.0000233295;0.0000000333
0.2336633970;0.9999766042;0.0000233625;0.0000000333
0.2339934300;0.9999765712;0.0000233955;0.0000000334
0.2343234630;0.9999765382;0.0000234285;0.0000000334
0.2346534960;0.9999765052;0.0000234614;0.0000000334
0.2349835290;0.9999764722;0.0000234944;0.0000000334
0.2353135620;0.9999764392;0.0000235274;0.0000000334
0.2356435950;0.9999764062;0.0000235604;0.0000000334
0.2359736280;0.9999763732;0.0000235934;0.0000000334
0.2363036610;0.9999763402;0.0000236264;0.0000000334
0.2366336940;0.9999763072;0.0000236594;0.0000000334
0.2369637270;0.9999762742;0.0000236924;0.0000000333
0.2372937600;0.9999762412;0.0000237255;0.0000000333
0.2376237930;0.9999762082;0.0000237585;0.0000000333
0.2379538260;0.9999761752;0.0000237915;0.0000000333
0.2382838590;0.9999761422;0.0000238245;0.0000000333
0.2386138920;0.9999761092;0.0000238575;0.0000000333
0.2389439250;0.9999760762;0.0000238904;0.0000000333
0.2392739580;0.9999760432;0.0000239235;0.0000000333
0.2396039910;0.9999760102;0.0000239564;0.0000000333
0.2399340240;0.9999759773;0.0000239894;0.0000000333
0.2402640570;0.9999759443;0.0000240224;0.0000000333
0.2405940900;0.9999759113;0.0000240554;0.0000000334
0.2409241230;0.9999758783;0.0000240884;0.0000000334
0.2412541560;0.9999758453;0.0000241214;0.0000000334
0.2415841890;0.9999758123;0.0000241543;0.0000000334
0.2419142220;0.9999757793;0.0000241874;0.0000000334
